scenario,quantity,rotation,start_year,end_year,reported_value,unit,source,status
Reference,Standing AGB,1,2015,2038,16169,Mg,Spanish manuscript Table 2,Mean row; averaging axes require confirmation
Reference,Standing AGB,2,2039,2062,14512,Mg,Spanish manuscript Table 2,Mean row; averaging axes require confirmation
Reference,Standing AGB,3,2063,2086,14201,Mg,Spanish manuscript Table 2,Mean row; averaging axes require confirmation
Reference,Harvest,1,2015,2038,542,Mg yr-1 (provisional; Q02),Spanish manuscript Table 3,Mean row; averaging axes require confirmation
Reference,Harvest,2,2039,2062,469,Mg yr-1 (provisional; Q02),Spanish manuscript Table 3,Mean row; averaging axes require confirmation
Reference,Harvest,3,2063,2086,448,Mg yr-1 (provisional; Q02),Spanish manuscript Table 3,Mean row; averaging axes require confirmation
Reference,Charcoal,1,2015,2038,106,Mg yr-1 (provisional; Q02),Spanish manuscript Table 4,Mean row; averaging axes require confirmation
Reference,Charcoal,2,2039,2062,92,Mg yr-1 (provisional; Q02),Spanish manuscript Table 4,Mean row; averaging axes require confirmation
Reference,Charcoal,3,2063,2086,88,Mg yr-1 (provisional; Q02),Spanish manuscript Table 4,Mean row; averaging axes require confirmation
Conservative,Standing AGB,1,2015,2038,22103,Mg,Spanish manuscript Table 5,Mean row; averaging axes require confirmation
Conservative,Standing AGB,2,2039,2062,23394,Mg,Spanish manuscript Table 5,Mean row; averaging axes require confirmation
Conservative,Standing AGB,3,2063,2086,23403,Mg,Spanish manuscript Table 5,Mean row; averaging axes require confirmation
Conservative,Harvest,1,2015,2038,363,Mg yr-1 (provisional; Q02),Spanish manuscript Table 6,Mean row; averaging axes require confirmation
Conservative,Harvest,2,2039,2062,389,Mg yr-1 (provisional; Q02),Spanish manuscript Table 6,Mean row; averaging axes require confirmation
Conservative,Harvest,3,2063,2086,389,Mg yr-1 (provisional; Q02),Spanish manuscript Table 6,Mean row; averaging axes require confirmation
Conservative,Charcoal,1,2015,2038,84,Mg yr-1 (provisional; Q02),Spanish manuscript Table 7,Mean row; averaging axes require confirmation
Conservative,Charcoal,2,2039,2062,89,Mg yr-1 (provisional; Q02),Spanish manuscript Table 7,Mean row; averaging axes require confirmation
Conservative,Charcoal,3,2063,2086,90,Mg yr-1 (provisional; Q02),Spanish manuscript Table 7,Mean row; averaging axes require confirmation
Intensive,Standing AGB,1,2015,2038,10365,Mg,Spanish manuscript Table 8,Mean row; averaging axes require confirmation
Intensive,Standing AGB,2,2039,2062,3290,Mg,Spanish manuscript Table 8,Mean row; averaging axes require confirmation
Intensive,Standing AGB,3,2063,2086,2880,Mg,Spanish manuscript Table 8,Mean row; averaging axes require confirmation
Intensive,Harvest,1,2015,2038,628,Mg yr-1 (provisional; Q02),Spanish manuscript Table 9,Mean row; averaging axes require confirmation
Intensive,Harvest,2,2039,2062,84,Mg yr-1 (provisional; Q02),Spanish manuscript Table 9,Mean row; averaging axes require confirmation
Intensive,Harvest,3,2063,2086,45,Mg yr-1 (provisional; Q02),Spanish manuscript Table 9,Mean row; averaging axes require confirmation
Intensive,Charcoal,1,2015,2038,116,Mg yr-1 (provisional; Q02),Spanish manuscript Table 10,Mean row; averaging axes require confirmation
Intensive,Charcoal,2,2039,2062,17,Mg yr-1 (provisional; Q02),Spanish manuscript Table 10,Mean row; averaging axes require confirmation
Intensive,Charcoal,3,2063,2086,9,Mg yr-1 (provisional; Q02),Spanish manuscript Table 10,Mean row; averaging axes require confirmation
